<color=#A8DEED>[INFO] [NewScriptsBootstrapConfigAsset] [OBS][LEGACY] Bootstrap legacy fields are ignored in canonical flow. asset='NewScriptsBootstrapConfig' hasLevelCatalog='True' hasStartGameplayLevelId='True'.</color>

<color=#A8DEED>[INFO] [GameNavigationCatalogAsset] [OBS][SceneFlow][Config] Optional core intent configurado. owner='GameNavigationCatalog', kind='GameOver', intentId='gameover', routeId='to-menu'.</color>

<color=#A8DEED>[INFO] [GameNavigationCatalogAsset] [OBS][SceneFlow][Config] Optional core intent configurado. owner='GameNavigationCatalog', kind='Victory', intentId='victory', routeId='to-menu'.</color>

<color=#A8DEED>[INFO] [GameNavigationCatalogAsset] [OBS][SceneFlow][Config] Optional core intent configurado. owner='GameNavigationCatalog', kind='Restart', intentId='restart', routeId='to-gameplay'.</color>

<color=#A8DEED>[INFO] [GameNavigationCatalogAsset] [OBS][SceneFlow][Config] Optional core intent configurado. owner='GameNavigationCatalog', kind='ExitToMenu', intentId='exit-to-menu', routeId='to-menu'.</color>

<color=#A8DEED>[INFO] [TransitionStyleCatalogAsset] [OBS][Config] TransitionStyleCatalog OnValidate summary: invalidEntries=0, noFadeEntries=2, asset='TransitionStyleCatalog'.</color>

[INFO] [AnimationBootstrapper] NEWSCRIPTS_MODE ativo: AnimationBootstrapper ignorado.

NEWSCRIPTS_MODE ativo: DebugUtility.Initialize executando reset de estado.

[INFO] [DebugUtility] DebugUtility inicializado antes de todos os sistemas.

[INFO] [CompassRuntimeService] NEWSCRIPTS_MODE ativo: CompassRuntimeService ignorado.

[VERBOSE] [GlobalCompositionRoot] NewScripts logging configured. (@ 3,92s)
[VERBOSE] [GlobalServiceRegistry] Serviço IRuntimeModeProvider encontrado no escopo global (tipo registrado: IRuntimeModeProvider). (@ 3,95s)

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IDegradedModeReporter registrado no escopo global. (@ 3,95s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] Registered global service: IDegradedModeReporter. (@ 3,95s)</color>

[VERBOSE] [GlobalServiceRegistry] Serviço IDegradedModeReporter encontrado no escopo global (tipo registrado: IDegradedModeReporter). (@ 3,95s)

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IWorldResetPolicy registrado no escopo global. (@ 3,95s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] Registered global service: IWorldResetPolicy. (@ 3,95s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [RuntimePolicy] IRuntimeModeProvider + IDegradedModeReporter + IWorldResetPolicy registrados no DI global. (@ 3,95s)</color>

[VERBOSE] [GlobalServiceRegistry] Serviço RuntimeModeConfig encontrado no escopo global (tipo registrado: RuntimeModeConfig). (@ 3,96s)

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IInputModeService registrado no escopo global. (@ 3,96s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [InputMode] IInputModeService registrado no DI global (playerMap='Player', menuMap='UI'). (@ 3,96s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IUniqueIdFactory registrado no escopo global. (@ 3,96s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] Registered global service: IUniqueIdFactory. (@ 3,96s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço ISimulationGateService registrado no escopo global. (@ 3,96s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] Registered global service: ISimulationGateService. (@ 3,96s)</color>

[VERBOSE] [GlobalServiceRegistry] Serviço ISimulationGateService encontrado no escopo global (tipo registrado: ISimulationGateService). (@ 3,96s)

[VERBOSE] [GamePauseGateBridge] [PauseBridge] Registrado nos eventos GamePauseCommandEvent/GameResumeRequestedEvent/GameExitToMenuRequestedEvent → SimulationGate. (@ 3,97s)

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço GamePauseGateBridge registrado no escopo global. (@ 3,97s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [Pause] GamePauseGateBridge registrado (EventBus → SimulationGate). (@ 3,97s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IGameLoopService registrado no escopo global. (@ 3,97s)</color>

[VERBOSE] [GameLoopService] [GameLoop] ENTER: Boot (active=False) (@ 3,97s)

[VERBOSE] [GameLoopService] [GameLoop] Initialized. (@ 3,97s)

<color=#A8DEED>[VERBOSE] [GameLoopCommandEventBridge] [GameLoop] Bridge de entrada registrado no EventBus (pause/resume/exit). (@ 3,97s)</color>

<color=#A8DEED>[VERBOSE] [GameLoopCommandEventBridge] [OBS][LEGACY] GameResetRequestedEvent listener disabled in GameLoopCommandEventBridge; MacroRestartCoordinator owns canonical restart. (@ 3,97s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço GameLoopCommandEventBridge registrado no escopo global. (@ 3,97s)</color>

[VERBOSE] [GlobalServiceRegistry] Serviço IGameLoopService encontrado no escopo global (tipo registrado: IGameLoopService). (@ 3,97s)

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [GameLoop] GameLoopBootstrap.EnsureRegistered() executado (serviço + bridge no escopo global). (@ 3,97s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IIntroStageCoordinator registrado no escopo global. (@ 3,97s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [IntroStageController] IntroStageCoordinator registrado no DI global. (@ 3,97s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IIntroStageControlService registrado no escopo global. (@ 3,97s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [IntroStageController] IntroStageControlService registrado no DI global. (@ 3,97s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IGameplaySceneClassifier registrado no escopo global. (@ 3,97s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [Gameplay] IGameplaySceneClassifier registrado no DI global. (@ 3,97s)</color>

[VERBOSE] [GlobalServiceRegistry] Serviço IGameplaySceneClassifier encontrado no escopo global (tipo registrado: IGameplaySceneClassifier). (@ 3,97s)

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IIntroStagePolicyResolver registrado no escopo global. (@ 3,97s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [IntroStageController] DefaultIntroStagePolicyResolver registrado no DI global. (@ 3,97s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IIntroStageStep registrado no escopo global. (@ 3,97s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [IntroStageController] ConfirmToStartIntroStageStep registrado no DI global. (@ 3,97s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IGameRunEndRequestService registrado no escopo global. (@ 3,97s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] Registered global service: IGameRunEndRequestService. (@ 3,97s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [GameLoop] GameRunEndRequestService registrado no DI global. (@ 3,97s)</color>

[VERBOSE] [GlobalServiceRegistry] Serviço IGameRunEndRequestService encontrado no escopo global (tipo registrado: IGameRunEndRequestService). (@ 3,97s)

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IGameCommands registrado no escopo global. (@ 3,97s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] Registered global service: IGameCommands. (@ 3,97s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [GameCommands] GameCommands registrado no DI global. (@ 3,97s)</color>

[VERBOSE] [GameRunStateService] [GameLoop] GameRunStateService registrado no EventBus<GameRunEndedEvent> e EventBus<GameRunStartedEvent>. (@ 3,97s)

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IGameRunStateService registrado no escopo global. (@ 3,98s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] Registered global service: IGameRunStateService. (@ 3,98s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [GameLoop] GameRunStateService registrado no DI global. (@ 3,98s)</color>

[VERBOSE] [GameRunOutcomeService] [GameLoop] GameRunOutcomeService registrado no EventBus<GameRunStartedEvent> e observando EventBus<GameRunEndedEvent>. (@ 3,98s)

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IGameRunOutcomeService registrado no escopo global. (@ 3,98s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] Registered global service: IGameRunOutcomeService. (@ 3,98s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [GameLoop] GameRunOutcomeService registrado no DI global. (@ 3,98s)</color>

[VERBOSE] [GlobalServiceRegistry] Serviço IGameRunOutcomeService encontrado no escopo global (tipo registrado: IGameRunOutcomeService). (@ 3,98s)

[VERBOSE] [GameRunOutcomeCommandBridge] GameRunOutcomeCommandBridge registered. (@ 3,98s)

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço GameRunOutcomeCommandBridge registrado no escopo global. (@ 3,98s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] Registered global service: GameRunOutcomeCommandBridge. (@ 3,98s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [GameLoop] GameRunOutcomeCommandBridge registrado no DI global. (@ 3,98s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IPostGameOwnershipService registrado no escopo global. (@ 3,98s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [PostPlay] PostGameOwnershipService registrado no DI global. (@ 3,98s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço NewScriptsBootstrapConfigAsset registrado no escopo global. (@ 3,98s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [OBS][Config] BootstrapConfigResolvedVia=RuntimeModeConfig asset=NewScriptsBootstrapConfig (@ 3,98s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IFadeService registrado no escopo global. (@ 3,98s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] Registered global service: IFadeService. (@ 3,98s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [Fade] IFadeService registered in global DI (scene='FadeScene'). (@ 3,98s)</color>

[VERBOSE] [GlobalServiceRegistry] Serviço IFadeService encontrado no escopo global (tipo registrado: IFadeService). (@ 3,98s)

[VERBOSE] [FadeService] [Fade] Ensuring FadeScene 'FadeScene' (Additive)... (@ 3,98s)

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço SceneTransitionProfileCatalogAsset registrado no escopo global. (@ 3,98s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [OBS][SceneFlow] SceneTransitionProfileCatalog registrado apenas para validação/compatibilidade (runtime usa referência direta de profile). (@ 3,98s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [OBS][Config] CatalogResolvedVia=BootstrapConfig field=sceneRouteCatalog asset=SceneRouteCatalog (@ 3,98s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço ISceneRouteCatalog registrado no escopo global. (@ 3,98s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [OBS][SceneFlow] SceneRouteCatalog validado e registrado como dependência obrigatória. (@ 3,98s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço ISceneRouteResolver registrado no escopo global. (@ 3,98s)</color>

[VERBOSE] [SceneFlowAdapterFactory] [SceneFlow] Usando SceneManagerLoaderAdapter (loader nativo). (@ 3,99s)

[VERBOSE] [SceneFlowAdapterFactory] [SceneFlow] Usando SceneFlowFadeAdapter com SceneTransitionProfile direto (sem resolver por id). (@ 3,99s)

<color=#A8DEED>[VERBOSE] [WorldLifecycleResetCompletionGate] [SceneFlowGate] WorldLifecycleResetCompletionGate registrado. timeoutMs=20000. (@ 3,99s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço ISceneTransitionCompletionGate registrado no escopo global. (@ 3,99s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [SceneFlow] ISceneTransitionCompletionGate registrado (MacroLevelPrepareCompletionGate, inner=WorldLifecycleResetCompletionGate). (@ 3,99s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço INavigationPolicy registrado no escopo global. (@ 3,99s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [SceneFlow] INavigationPolicy registrado (AllowAllNavigationPolicy). (@ 3,99s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IRouteGuard registrado no escopo global. (@ 3,99s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [SceneFlow] IRouteGuard registrado (AllowAllRouteGuard). (@ 3,99s)</color>

[VERBOSE] [GlobalServiceRegistry] Serviço ISceneRouteResolver encontrado no escopo global (tipo registrado: ISceneRouteResolver). (@ 3,99s)

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço ISceneTransitionService registrado no escopo global. (@ 3,99s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [SceneFlow] SceneTransitionService nativo registrado (Loader=SceneManagerLoaderAdapter, FadeAdapter=SceneFlowFadeAdapter, Gate=MacroLevelPrepareCompletionGate, Policy=AllowAllNavigationPolicy, RouteResolver=SceneRouteCatalogResolver, RouteGuard=AllowAllRouteGuard). (@ 3,99s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço ISceneFlowSignatureCache registrado no escopo global. (@ 3,99s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [SceneFlow] SceneFlowSignatureCache registrado no DI global. (@ 3,99s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IRouteResetPolicy registrado no escopo global. (@ 3,99s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [SceneFlow] IRouteResetPolicy registrado (SceneRouteResetPolicy). (@ 3,99s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço ILoadingHudService registrado no escopo global. (@ 3,99s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] Registered global service: ILoadingHudService. (@ 3,99s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [Loading] ILoadingHudService registrado no DI global. (@ 3,99s)</color>

[VERBOSE] [LoadingHudOrchestrator] [Loading] LoadingHudOrchestrator registrado nos eventos de Scene Flow. (@ 3,99s)

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço LoadingHudOrchestrator registrado no escopo global. (@ 3,99s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] Registered global service: LoadingHudOrchestrator. (@ 3,99s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [Loading] LoadingHudOrchestrator registrado no DI global. (@ 3,99s)</color>

<color=#A8DEED>[VERBOSE] [WorldLifecycleSceneFlowResetDriver] [WorldLifecycle] Driver registrado: SceneFlow ScenesReady -> ResetWorld -> ResetCompleted. reason='SceneFlow/ScenesReady'. (@ 3,99s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço WorldLifecycleSceneFlowResetDriver registrado no escopo global. (@ 3,99s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] Registered global service: WorldLifecycleSceneFlowResetDriver. (@ 3,99s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço WorldResetService registrado no escopo global. (@ 3,99s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] Registered global service: WorldResetService. (@ 3,99s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IWorldResetCommands registrado no escopo global. (@ 3,99s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] Registered global service: IWorldResetCommands. (@ 3,99s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IWorldResetRequestService registrado no escopo global. (@ 3,99s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] Registered global service: IWorldResetRequestService. (@ 3,99s)</color>

[VERBOSE] [GlobalServiceRegistry] Serviço ISceneTransitionService encontrado no escopo global (tipo registrado: ISceneTransitionService). (@ 3,99s)

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [OBS][Config] CatalogResolvedVia=BootstrapConfig field=navigationCatalog asset=GameNavigationCatalog (@ 3,99s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [OBS][Config] CatalogResolvedVia=BootstrapConfig field=navigationIntentCatalog asset=GameNavigationIntentCatalog (@ 3,99s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [OBS][Config] CatalogResolvedVia=BootstrapConfig field=transitionStyleCatalog asset=TransitionStyleCatalog (@ 3,99s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço ITransitionStyleCatalog registrado no escopo global. (@ 3,99s)</color>

<color=#A8DEED>[VERBOSE] [GameNavigationCatalogAsset] [OBS][SceneFlow] RouteResolvedVia=AssetRef owner='GameNavigationCatalog', intentId='to-menu', routeId='to-menu', asset='Route_to-menu'. (@ 3,99s)</color>

<color=#A8DEED>[VERBOSE] [GameNavigationCatalogAsset] [OBS][SceneFlow] RouteResolvedVia=AssetRef owner='GameNavigationCatalog', intentId='to-gameplay', routeId='to-gameplay', asset='Route_to-gameplay'. (@ 3,99s)</color>

<color=#A8DEED>[VERBOSE] [GameNavigationCatalogAsset] [OBS][SceneFlow] RouteResolvedVia=AssetRef owner='GameNavigationCatalog', intentId='gameover', routeId='to-menu', asset='Route_to-menu'. (@ 4,00s)</color>

<color=#A8DEED>[VERBOSE] [GameNavigationCatalogAsset] [OBS][SceneFlow] RouteResolvedVia=AssetRef owner='GameNavigationCatalog', intentId='victory', routeId='to-menu', asset='Route_to-menu'. (@ 4,00s)</color>

<color=#A8DEED>[VERBOSE] [GameNavigationCatalogAsset] [OBS][SceneFlow] RouteResolvedVia=AssetRef owner='GameNavigationCatalog', intentId='restart', routeId='to-gameplay', asset='Route_to-gameplay'. (@ 4,00s)</color>

<color=#A8DEED>[VERBOSE] [GameNavigationCatalogAsset] [OBS][SceneFlow] RouteResolvedVia=AssetRef owner='GameNavigationCatalog', intentId='exit-to-menu', routeId='to-menu', asset='Route_to-menu'. (@ 4,00s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [OBS][Navigation] Catalog boot snapshot: bootstrapVia=RuntimeModeConfig, navigationVia=BootstrapConfig navigationAsset=GameNavigationCatalog, intentsVia=BootstrapConfig intentsAsset=GameNavigationIntentCatalog, stylesVia=BootstrapConfig stylesAsset=TransitionStyleCatalog, rawRoutesCount=0, builtRouteIdsCount=6, hasToGameplay=True. (@ 4,00s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IRestartContextService registrado no escopo global. (@ 4,00s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [OBS][Navigation] RestartContextService registrado no DI global. (@ 4,00s)</color>

<color=#A8DEED>[VERBOSE] [GameNavigationService] [Navigation] GameNavigationService inicializado. Entries: [to-menu, to-gameplay, gameover, victory, restart, exit-to-menu] (@ 4,00s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IGameNavigationService registrado no escopo global. (@ 4,00s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [OBS][Navigation] GameNavigationService registrado. bootstrapVia=RuntimeModeConfig navigationVia=BootstrapConfig intentsVia=BootstrapConfig stylesVia=BootstrapConfig (assets: navigation=GameNavigationCatalog, intents=GameNavigationIntentCatalog, styles=TransitionStyleCatalog). (@ 4,00s)</color>

[VERBOSE] [GlobalServiceRegistry] Serviço IGameNavigationService encontrado no escopo global (tipo registrado: IGameNavigationService). (@ 4,00s)

[VERBOSE] [GlobalServiceRegistry] Serviço IRestartContextService encontrado no escopo global (tipo registrado: IRestartContextService). (@ 4,00s)

[VERBOSE] [GlobalServiceRegistry] Serviço IWorldResetCommands encontrado no escopo global (tipo registrado: IWorldResetCommands). (@ 4,00s)

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço ILevelSwapLocalService registrado no escopo global. (@ 4,00s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [OBS][LevelFlow] ILevelSwapLocalService registrado (LevelSwapLocalService). (@ 4,00s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço ILevelFlowRuntimeService registrado no escopo global. (@ 4,00s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [OBS][LevelFlow] LevelFlowRuntimeService registrado (trilho canônico StartGameplayDefaultAsync(reason,...)). (@ 4,00s)</color>

[VERBOSE] [GlobalServiceRegistry] Serviço ILevelFlowRuntimeService encontrado no escopo global (tipo registrado: ILevelFlowRuntimeService). (@ 4,00s)

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IPostLevelActionsService registrado no escopo global. (@ 4,00s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [OBS][LevelFlow] IPostLevelActionsService registrado (PostLevelActionsService). (@ 4,00s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço ILevelMacroPrepareService registrado no escopo global. (@ 4,00s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [OBS][LevelFlow] ILevelMacroPrepareService registrado (LevelMacroPrepareService). (@ 4,00s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IContentSwapContextService registrado no escopo global. (@ 4,00s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] Registered global service: IContentSwapContextService. (@ 4,00s)</color>

[VERBOSE] [GlobalServiceRegistry] Serviço IContentSwapContextService encontrado no escopo global (tipo registrado: IContentSwapContextService). (@ 4,00s)

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IContentSwapChangeService registrado no escopo global. (@ 4,00s)</color>

<color=#4CAF50>[INFO] [GlobalCompositionRoot] [ContentSwap] Registered IContentSwapChangeService (InPlaceOnly).</color>

<color=#A8DEED>[INFO] [IntroStageDevInstaller] [QA][IntroStageController] IntroStageDevContextMenu instalado (DontDestroyOnLoad).</color>

<color=#A8DEED>[INFO] [IntroStageDevInstaller] [QA][IntroStageController] IntroStageDevContextMenu ausente; componente adicionado.</color>

<color=#A8DEED>[INFO] [IntroStageDevInstaller] [QA][IntroStageController] Para acessar o ContextMenu, selecione o GameObject 'QA_IntroStage' no Hierarchy (DontDestroyOnLoad).</color>

<color=#A8DEED>[INFO] [ContentSwapDevInstaller] [QA][ContentSwap] ContentSwapDevContextMenu instalado (DontDestroyOnLoad).</color>

<color=#A8DEED>[INFO] [ContentSwapDevInstaller] [QA][ContentSwap] ContentSwapDevContextMenu ausente; componente adicionado.</color>

<color=#4CAF50>[INFO] [ContentSwapDevInstaller] [QA][ContentSwap] Para acessar o ContextMenu, selecione o GameObject 'QA_ContentSwap' no Hierarchy (DontDestroyOnLoad).</color>

<color=#A8DEED>[INFO] [SceneFlowDevInstaller] [QA][SceneFlow] SceneFlowDevContextMenu instalado (DontDestroyOnLoad).</color>

<color=#A8DEED>[INFO] [SceneFlowDevInstaller] [QA][SceneFlow] SceneFlowDevContextMenu ausente; componente adicionado.</color>

<color=#4CAF50>[INFO] [SceneFlowDevInstaller] [QA][SceneFlow] Para acessar o ContextMenu, selecione o GameObject 'QA_SceneFlow' no Hierarchy (DontDestroyOnLoad).</color>

<color=#A8DEED>[INFO] [LevelFlowDevInstaller] [QA][LevelFlow] LevelFlowDevContextMenu instalado (DontDestroyOnLoad).</color>

<color=#A8DEED>[INFO] [LevelFlowDevInstaller] [QA][LevelFlow] LevelFlowDevContextMenu ausente; componente adicionado.</color>

